Unix,TimeStamp,Delta,Theta,Low_Alfa,High_Alfa,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma,Attention,Meditation
1498038779.68,185259,19,5,0,2,0,1,0,1,0,0
1498038780.69,185300,1,0,0,1,0,1,0,1,0,0
1498038781.67,185301,5,1,0,2,1,1,0,0,0,0
1498038782.67,185302,15,1,1,0,0,2,1,2,0,0
1498038783.68,185303,233,67,58,19,14,39,32,21,0,0
1498038784.66,185304,440444,77830,16477,9512,8369,3301,2245,403,0,0
1498038785.66,185305,1661571,282844,25754,59897,5313,159337,4880,1322,0,0
1498038786.65,185306,19556,10985,1319,1003,951,4169,58,55,0,0
1498038787.66,185307,1794547,55237,48801,106383,9853,80091,35161,1625,0,0
