Unix,TimeStamp,Delta,Theta,Low_Alfa,High_Alfa,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma,Attention,Meditation
1498038869.32,185429,16,3,1,0,0,1,1,2,0,0
1498038870.3,185430,0,0,0,0,0,0,0,0,0,0
1498038871.29,185431,8,2,1,0,0,0,1,1,0,0
1498038872.3,185432,9,6,2,1,1,1,0,0,0,0
1498038873.3,185433,250,712,131,117,87,76,57,44,0,0
1498038874.28,185434,617025,353361,45844,46819,41289,59713,27827,3918,0,0
1498038875.27,185435,1239962,1425187,1800472,230799,85921,408523,504503,20385,0,0
