Unix,TimeStamp,Delta,Theta,Low_Alfa,High_Alfa,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma,Attention,Meditation
1498038869.32,185429,16,3,1,0,0,1,1,2,0,0
1498038870.3,185430,0,0,0,0,0,0,0,0,0,0
1498038871.29,185431,8,2,1,0,0,0,1,1,0,0
1498038872.3,185432,9,6,2,1,1,1,0,0,0,0
