Unix,TimeStamp,Delta,Theta,Low_Alfa,High_Alfa,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma,Attention,Meditation
1498038821.99,185341,13,1,2,1,0,2,0,0,0,0
1498038822.97,185342,1,1,2,0,0,3,1,1,0,0
1498038823.98,185343,2,1,0,0,0,1,1,1,0,0
1498038824.97,185344,9,0,0,0,0,0,0,0,0,0
1498038825.97,185345,123,23,3,2,2,8,8,14,0,0
1498038826.94,185346,2071109,181039,149443,85534,87751,50686,40959,3412,0,0
1498038827.95,185347,2105463,128983,57055,48345,2330,117109,2834,1167,0,0
